Slno,Product,Qty,Rate,OrgVal
1,4-QUIN LOT EYE DROP,2,200,400
2,4-QUIN-DROPS,2,156,312
3,A TO Z NS DROPS,2,70.5,141
4,A TO Z NS+,58,10.33,599.31
5,AB FLO CAP 15'S,45,16.44,739.8
6,AB PHLLINE-SR 200,38,27.6,1048.8
7,AB PHYLLINE CAP,23,16.2,372.6
8,AB PHYLLINE CAP 15'S,15,17.7,265.5
9,AB-FLO SR TAB,39,25.81,1006.64
10,AB-FLO-CAP,25,16.45,411.13
11,AB-VAS-F,20,7.8,156
12,ABAXIS 5 TABLET,30,20.9,627
13,ABDOMINAL SUPPORT L,1,630,630
14,ABEVIA 200 SR10,14,19.8,277.2
15,ABIXIM,60,13.66,819.48
16,ABIXIM O,34,26.53,901.95
17,ABVIDA M 50/500 15S,15,15.97,239.52
18,ABZORB POWDER,10,142,1420
19,"ACCU-CHEK  ACTIVE 50,S",2,1145,2290
20,ACCU-CHEK ACTIVE 10,1,425,425
21,ACCU-CHEK INSTANT STRIP 50,1,1145,1145
22,"ACCUCHECK ACTIV 25""S",1,795,795
23,ACEBROWIN CAPS,16,7.8,124.8
24,ACEBROWIN PLUS,24,15.9,381.6
25,ACENEXT 100,80,3.57,285.2
26,ACENEXT SP,30,10.13,303.88
27,ACENEXT-P TAB,360,8.16,2936.25
28,ACENOMAC 2 MG,60,11.95,717
29,ACIDIP-S SYP,2,108,216
30,"ACILOC 150 TAB 30,S",60,1.5,89.7
31,ACILOC RD (15),50,5.62,281
32,ACITROM 1MG TAB,45,10.35,465.95
33,ACITROM 2MG TAB,48,16.72,802.75
34,ACITROM 3MG TAB,20,17.66,353.2
35,ACITROM 4MG TAB,51,20.73,1057.03
36,ACIVIR 200DT,40,8.42,336.88
37,ACIVIR 400DT,2,15.29,30.58
38,ACIVIR 400DT 10'S,80,15.3,1223.92
39,ACIVIR 800DT,5,44.77,223.85
40,ACIVIR CREAM 10GM,1,161.05,161.05
41,ACLOVEER-800,10,29.48,294.8
42,ACOTRUST 100 MG,-1,0,0
43,ACTIGLIPT-M,52,12.2,634.4
44,ACTON  OR TAB,40,5.3,212.1
45,ACTON OR PLUS,20,18.12,362.4
46,ACTRAPID-HM PENFIL,8,385.99,3087.92
47,"ACUVIN TAB 15,S",-1,0,0
48,ADALODAKADI COUGH SYRUP,4,60,240
49,ADBONA K2 TAB,16,24.62,393.97
50,ADBONA-PLUS CAP,69,15.96,1101.17
51,ADBROM EYE DROP,1,165,165
52,ADHENSIVE  PLASTER 2.5CM,8,67.5,540
53,ADHESIVE PLASTER 7.5*8M,3,213,639
54,ADHESIVE TAPE 1.25,4,24,96
55,ADHESIVE TAPE 2.5,8,48.75,390
56,ADILIP 135 TAB,23,22.2,510.6
57,ADLODA-EX COUGH SYRUP,9,60,540
58,ADMENTA 5MG TAB,36,11.9,428.4
59,ADULT DIAPER ALL,71,457.99,32517
60,ADULT DIAPER KARE PULL UP(LARG,4,600,2400
61,ADULT WIPES 10S,4,486.75,1947
62,AER TWIST PETAL CRUSH,1,399,399
63,AEROCORT FORTE ROTOCAP,4,104.67,418.68
64,AEROCORT ROTOCAP,3,125.78,377.34
65,AEROCORT-200 INHALER,5,301.14,1505.7
66,AF-150MG TAB,8,12.63,101.05
67,AF-200MG,2,16.2,32.4
68,AF-400 TAB,5,28.7,143.5
69,AFDURA TAB,30,33.5,1005
70,AGPENTIN-100MG,40,8.9,356
71,AIMET XR 25 TAB,156,4.2,655.2
72,AIMET XR 50 TAB,350,6.4,2240
73,AIR M,45,6.9,310.5
74,AIRZ F DIGIHALER,2,622,1244
75,AIRZ FB INHALER,1,820,820
76,AIRZ-FF,1,585,585
77,AJAMAMSA RASAYANAM,1,250,250
78,AJAY BRUSH,11,22,242
79,ALASPAN,20,14.78,295.6
80,ALBENDAZOLE 400 TAB,101,8.48,856.83
81,ALBENDAZOLE-SYP  10ML,3,20,60
82,ALCOHOL SWABS,200,2.63,525
83,ALDACTONE-100 TAB,43,16.61,714.43
84,ALDACTONE-25 TAB,129,2.44,314.76
85,ALDACTONE-50 TAB,141,4.71,663.69
86,ALEX-SF SYP 100ML,3,141,423
87,ALEX-SYP 100ML,5,141,705
88,ALFOO 10MG TAB,26,25.22,655.64
89,ALFUGRESS D TAB,75,24.5,1837.5
90,ALFUGRESS TAB,60,11.4,684
91,ALKOF JUNIOR 100ML,3,108,324
92,ALKOF JUNIOR 60ML,5,67,335
93,ALKOF SYP 100ML,4,60,240
94,ALKOF-DX SYP,5,120,600
95,ALLEGRA NASAL SPRAY,1,436,436
96,ALLEGRA-120 TAB,10,24.07,240.68
97,ALLEGRA-180 TAB,23,24.96,574.17
98,ALLERCET-DC TAB,10,8,80
99,ALLSTAR REUSABLE PEN,1,977,977
